User ID,User Age,User Gender,User Income,Preferred Destination,Travel Dates,Travel Duration (days),Travel Purpose,Preferred Travel Mode,Accommodation Type,Total Budget (USD),Accommodation Budget (USD),Activity Budget (USD),Number of Travelers,Preferred Airlines,Preferred Activities
1,66,Female,42981,Paris,2024-01-01,3,Business,Bus,Hotel,3595,1704,1891,2,Lufthansa,Cultural Exploration
2,64,Other,121690,Sydney,2024-01-02,8,Family Visit,Car,Resort,3796,1367,2429,5,Lufthansa,Relaxation
3,38,Other,68065,Rio de Janeiro,2024-01-03,3,Business,Train,Resort,8154,3630,4524,4,Emirates,Sightseeing
4,22,Male,39399,Sydney,2024-01-04,8,Family Visit,Plane,Hostel,1595,597,998,1,Delta,Relaxation
5,52,Male,138026,Cape Town,2024-01-05,3,Leisure,Plane,Hostel,4871,2904,1967,1,Delta,Cultural Exploration
6,43,Male,69259,New York,2024-01-06,3,Family Visit,Bus,Resort,3530,2066,1464,5,Delta,Sightseeing
7,68,Male,95039,Sydney,2024-01-07,15,Leisure,Car,Resort,6077,1946,4131,1,Qatar,Cultural Exploration
8,25,Other,61214,Rio de Janeiro,2024-01-08,10,Leisure,Bus,Airbnb,2980,1013,1967,3,Qatar,Sightseeing
9,50,Other,66531,Rio de Janeiro,2024-01-09,8,Family Visit,Bus,Hotel,3990,1666,2324,4,United,Sightseeing
10,24,Other,98842,Paris,2024-01-10,13,Business,Plane,Hotel,7565,2425,5140,3,Delta,Sightseeing
11,66,Male,74505,Cape Town,2024-01-11,1,Leisure,Train,Hotel,7138,2254,4884,2,Qatar,Relaxation
12,55,Other,46575,Rio de Janeiro,2024-01-12,13,Business,Bus,Resort,8828,3576,5252,1,Delta,Cultural Exploration
13,69,Other,126428,Rio de Janeiro,2024-01-13,18,Family Visit,Bus,Airbnb,6769,2625,4144,5,Lufthansa,Relaxation
14,28,Female,109641,Tokyo,2024-01-14,12,Family Visit,Bus,Airbnb,5003,2913,2090,1,United,Relaxation
15,33,Female,33545,Paris,2024-01-15,2,Leisure,Plane,Airbnb,4989,2122,2867,4,United,Relaxation
16,60,Other,50661,Rio de Janeiro,2024-01-16,14,Family Visit,Train,Hotel,2675,1385,1290,4,Lufthansa,Sightseeing
17,19,Other,122064,Cape Town,2024-01-17,13,Leisure,Bus,Airbnb,2370,1046,1324,1,Lufthansa,Cultural Exploration
18,31,Other,26305,New York,2024-01-18,9,Business,Train,Hotel,5931,2977,2954,2,Delta,Adventure Sports
