User ID,User Age,User Gender,User Income,Starting Place,Preferred Destination,Travel Dates,Travel Duration (days),Travel Purpose,Preferred Travel Mode,Accommodation Type,Total Budget (USD),Accommodation Budget (USD),Activity Budget (USD),Number of Travelers,Preferred Airlines,Preferred Activities,Starting Destination
1,42,Male,80139,USA,New York,2024-01-01,18,Family Visit,Plane,Resort,1200,413,787,3,Emirates,Sightseeing,India
2,34,Male,20236,USA,Cape Town,2024-01-02,14,Family Visit,Plane,Hotel,2071,709,1362,3,Delta,Adventure Sports,India
3,53,Male,97178,UK,New York,2024-01-03,12,Family Visit,Car,Resort,6812,3800,3012,3,Qatar,Relaxation,India
4,19,Female,137446,India,Rio de Janeiro,2024-01-04,2,Business,Train,Airbnb,6404,3666,2738,2,Qatar,Relaxation,India
5,67,Other,72636,USA,Rio de Janeiro,2024-01-05,8,Family Visit,Bus,Airbnb,4435,1634,2801,3,Delta,Adventure Sports,India
6,42,Other,136184,USA,Tokyo,2024-01-06,6,Family Visit,Plane,Hostel,3489,1394,2095,5,Delta,Sightseeing,India
7,36,Male,140106,UK,Paris,2024-01-07,19,Family Visit,Train,Hostel,1255,699,556,2,Qatar,Sightseeing,India
8,24,Female,86056,UK,Paris,2024-01-08,15,Family Visit,Plane,Airbnb,2071,713,1358,3,Qatar,Sightseeing,India
9,61,Other,121716,India,Paris,2024-01-09,4,Family Visit,Car,Airbnb,3170,1171,1999,2,Delta,Cultural Exploration,India
10,67,Female,80144,Australia,Paris,2024-01-10,14,Business,Car,Airbnb,6756,3132,3624,3,United,Cultural Exploration,India
11,58,Female,78084,UK,Rio de Janeiro,2024-01-11,2,Business,Train,Airbnb,2547,1269,1278,4,Lufthansa,Adventure Sports,India
12,61,Male,111742,UK,Cape Town,2024-01-12,7,Leisure,Train,Airbnb,7392,3422,3970,5,United,Sightseeing,India
13,66,Other,82375,Canada,New York,2024-01-13,11,Business,Train,Hostel,5896,2153,3743,3,Qatar,Sightseeing,India
14,69,Other,140830,Canada,Tokyo,2024-01-14,6,Family Visit,Plane,Hotel,2103,639,1464,5,United,Adventure Sports,India
15,45,Other,100236,India,Rio de Janeiro,2024-01-15,1,Business,Plane,Hotel,3215,1177,2038,5,Lufthansa,Relaxation,India
16,29,Female,91665,Canada,New York,2024-01-16,12,Leisure,Car,Airbnb,1461,477,984,4,Lufthansa,Cultural Exploration,India
17,42,Other,144656,UK,Rio de Janeiro,2024-01-17,6,Leisure,Bus,Airbnb,4399,2089,2310,5,Lufthansa,Cultural Exploration,India
18,42,Male,28843,India,New York,2024-01-18,8,Business,Train,Hostel,6357,2316,4041,1,Lufthansa,Cultural Exploration,India
19,55,Other,61639,UK,Cape Town,2024-01-19,10,Family Visit,Train,Hotel,6314,2922,3392,2,Lufthansa,Cultural Exploration,India
20,26,Other,67411,USA,Rio de Janeiro,2024-01-20,6,Leisure,Train,Hotel,7058,3087,3971,4,Lufthansa,Adventure Sports,India
21,47,Male,133495,USA,New York,2024-01-21,1,Business,Train,Hostel,9283,4092,5191,1,Emirates,Relaxation,India
22,60,Female,77985,Canada,Rio de Janeiro,2024-01-22,12,Family Visit,Car,Airbnb,5697,2164,3533,4,Emirates,Cultural Exploration,India
23,42,Other,83762,Australia,Tokyo,2024-01-23,9,Family Visit,Car,Hostel,3859,2200,1659,1,Emirates,Adventure Sports,India
24,57,Other,117353,India,New York,2024-01-24,16,Family Visit,Bus,Hostel,5758,3422,2336,5,United,Relaxation,India
25,69,Female,145942,India,Cape Town,2024-01-25,13,Business,Train,Resort,3104,1749,1355,5,Qatar,Relaxation,India
26,68,Female,116004,India,Paris,2024-01-26,16,Leisure,Bus,Hotel,4478,2062,2416,1,Emirates,Sightseeing,India
27,66,Male,52667,UK,Cape Town,2024-01-27,8,Leisure,Bus,Hostel,3827,2109,1718,5,United,Adventure Sports,India
28,53,Female,120614,India,Paris,2024-01-28,3,Family Visit,Plane,Hostel,9992,3884,6108,5,Emirates,Cultural Exploration,India
29,50,Male,25951,USA,Rio de Janeiro,2024-01-29,3,Business,Bus,Resort,4054,1495,2559,2,United,Sightseeing,India
30,58,Female,127251,Canada,Rio de Janeiro,2024-01-30,15,Family Visit,Plane,Hotel,6965,3638,3327,2,Delta,Adventure Sports,India
31,20,Other,48947,India,Sydney,2024-01-31,19,Leisure,Bus,Airbnb,6446,2220,4226,2,Delta,Adventure Sports,India
32,26,Male,106744,USA,New York,2024-02-01,2,Business,Train,Airbnb,6852,3179,3673,4,Emirates,Adventure Sports,India
33,61,Female,52819,USA,New York,2024-02-02,13,Leisure,Plane,Hotel,4508,1804,2704,1,Qatar,Sightseeing,India
34,25,Other,40168,Australia,Sydney,2024-02-03,2,Leisure,Car,Hotel,1042,576,466,4,Qatar,Sightseeing,India
35,52,Male,57090,UK,Tokyo,2024-02-04,18,Leisure,Car,Resort,7758,2333,5425,1,Delta,Sightseeing,India
36,32,Female,24387,Canada,Sydney,2024-02-05,8,Business,Car,Airbnb,7480,4463,3017,3,Lufthansa,Cultural Exploration,India
37,40,Other,44320,Canada,Rio de Janeiro,2024-02-06,17,Family Visit,Car,Hotel,9500,5142,4358,2,Qatar,Cultural Exploration,India
38,47,Female,149428,USA,Rio de Janeiro,2024-02-07,10,Business,Plane,Hotel,7823,3593,4230,4,Emirates,Relaxation,India
39,28,Female,63091,Canada,Sydney,2024-02-08,19,Family Visit,Car,Hostel,6846,2864,3982,1,Lufthansa,Cultural Exploration,India
40,66,Male,108839,India,Tokyo,2024-02-09,5,Business,Plane,Airbnb,3027,1714,1313,3,Qatar,Cultural Exploration,India
41,29,Other,29660,UK,Cape Town,2024-02-10,6,Business,Bus,Airbnb,4164,1421,2743,4,Lufthansa,Cultural Exploration,India
42,56,Male,62915,UK,Paris,2024-02-11,5,Family Visit,Car,Resort,4873,1570,3303,3,Delta,Cultural Exploration,India
43,32,Other,70870,India,Paris,2024-02-12,10,Leisure,Bus,Airbnb,2100,1148,952,4,Delta,Relaxation,India
44,28,Female,25073,USA,Rio de Janeiro,2024-02-13,12,Family Visit,Bus,Airbnb,9910,4815,5095,5,Emirates,Relaxation,India
45,19,Female,109822,India,New York,2024-02-14,12,Leisure,Train,Airbnb,4389,2120,2269,3,Delta,Sightseeing,India
46,29,Female,23896,India,Cape Town,2024-02-15,15,Family Visit,Car,Hostel,8456,3867,4589,3,Delta,Relaxation,India
47,59,Other,124820,USA,Tokyo,2024-02-16,10,Business,Bus,Hotel,2703,1057,1646,1,Lufthansa,Cultural Exploration,India
48,35,Male,83648,UK,Paris,2024-02-17,15,Family Visit,Car,Hotel,805,421,384,5,Delta,Sightseeing,India
49,62,Female,67827,India,Sydney,2024-02-18,2,Family Visit,Plane,Resort,982,421,561,3,Qatar,Adventure Sports,India
50,23,Other,106111,Australia,Cape Town,2024-02-19,18,Leisure,Train,Resort,6194,2850,3344,2,Qatar,Relaxation,India
51,48,Male,118792,Canada,Cape Town,2024-02-20,14,Business,Train,Hotel,2453,1299,1154,1,Emirates,Relaxation,India
52,24,Other,43547,UK,New York,2024-02-21,10,Family Visit,Car,Hostel,7607,3612,3995,2,United,Sightseeing,India
53,64,Other,64057,Canada,Cape Town,2024-02-22,9,Business,Bus,Hotel,3406,1555,1851,2,Lufthansa,Adventure Sports,India
54,26,Male,63247,Canada,Tokyo,2024-02-23,15,Leisure,Train,Resort,8612,4941,3671,3,Lufthansa,Cultural Exploration,India
55,49,Female,53241,Canada,New York,2024-02-24,4,Business,Car,Resort,7871,4657,3214,2,Delta,Cultural Exploration,India
56,63,Male,136151,USA,New York,2024-02-25,20,Business,Bus,Resort,8434,4339,4095,5,Delta,Adventure Sports,India
57,23,Other,63369,UK,Rio de Janeiro,2024-02-26,15,Business,Car,Hotel,2015,917,1098,1,Qatar,Sightseeing,India
58,53,Other,102881,USA,Tokyo,2024-02-27,5,Family Visit,Car,Hotel,1391,497,894,2,Qatar,Adventure Sports,India
59,48,Male,27313,Australia,Tokyo,2024-02-28,20,Business,Bus,Hostel,9899,5090,4809,3,Lufthansa,Adventure Sports,India
60,58,Male,109822,Canada,New York,2024-02-29,10,Family Visit,Bus,Hotel,2797,1413,1384,3,United,Sightseeing,India
61,69,Male,79406,Australia,Paris,2024-03-01,10,Family Visit,Bus,Resort,7835,3851,3984,3,Emirates,Adventure Sports,India
62,21,Other,52347,Canada,Paris,2024-03-02,9,Family Visit,Bus,Airbnb,9998,4803,5195,4,United,Adventure Sports,India
63,64,Other,71729,India,New York,2024-03-03,1,Family Visit,Plane,Hostel,3393,1072,2321,4,United,Cultural Exploration,India
64,42,Male,126303,USA,Tokyo,2024-03-04,15,Family Visit,Car,Hotel,7220,2401,4819,1,Delta,Relaxation,India
65,65,Other,143666,Australia,New York,2024-03-05,11,Leisure,Bus,Airbnb,2641,1319,1322,2,Emirates,Sightseeing,India
66,51,Female,21282,India,Cape Town,2024-03-06,6,Family Visit,Train,Hotel,551,246,305,4,Qatar,Adventure Sports,India
67,44,Male,110804,Australia,New York,2024-03-07,7,Leisure,Plane,Hostel,9139,3952,5187,5,Qatar,Sightseeing,India
68,48,Male,71871,UK,Paris,2024-03-08,17,Leisure,Car,Hostel,9812,5728,4084,4,Lufthansa,Sightseeing,India
69,45,Other,120863,USA,Rio de Janeiro,2024-03-09,18,Leisure,Plane,Airbnb,6277,2997,3280,1,Qatar,Cultural Exploration,India
70,37,Male,148432,Canada,Sydney,2024-03-10,10,Business,Car,Airbnb,6918,2889,4029,5,Emirates,Cultural Exploration,India
